20	-737724.443323404	-1041189.96597819
19	-743071.755748404	-1039672.99791436
18	-739734.426007979	-1046423.5057984
17	-744930.041626596	-1051846.6666266
16	-731163.55644734	-1043958.43269468
15	-733969.947365425	-1049267.82091808
14	-734652.582994149	-1035918.50195638
13	-749025.855398936	-1045475.40075851
12	-746598.706496808	-1040279.78513989
11	-748267.371367021	-1049722.91133723
10	-741478.939281383	-1043086.17605798
9	-727826.226706915	-1045058.23454096
8	-735676.536437234	-1046461.43
7	-730329.224012234	-1051164.03099787
6	-744247.405997872	-1046651.05100798
5	-739810.27441117	-1038080.18144734
4	-748191.52296383	-1055449.46577819
3	-734083.719970213	-1041569.20799415
2	-740606.682644681	-1050443.47116755
1	-750922.065478723	-1042251.84362287
